,num_followers,num_pub,num_fav,num_alb,num_fol,num_wal,time,top_plays,top_favs,top_genre
300,487,18,871,0,90,1422,8,8818,369,uncategorized
301,486,68,1816,4,183,254,12,135,21,Techno
302,486,775,46,0,0,305,9,18057,685,Trap
303,485,5,3715,16,95,1291,8,614,53,uncategorized
304,485,6,3162,11,78,13185,5,1056,114,Trap
305,483,61,1453,3,102,1471,5,9920,374,Future Bass
306,483,268,4407,2,199,1112,8,1976,112,uncategorized
307,483,1,4062,15,835,2118,7,2470,139,uncategorized
308,482,197,1246,1,237,1473,6,6534,252,uncategorized
309,481,142,1805,1,975,832,7,1442,81,uncategorized
310,480,13,196,1,1657,126,6,342,19,uncategorized
311,479,11,1072,0,2772,167,6,199,17,uncategorized
312,479,110,2619,1,480,1034,9,882,116,Other
313,477,60,1261,1,287,1063,5,223,35,Experimental
314,473,240,1226,2,134,316,8,1067,93,uncategorized
315,473,80,4783,2,192,2105,4,238,25,Trap
316,471,63,1998,1,193,1155,7,796,83,Experimental
317,470,60,4400,20,364,4312,7,1351,94,Bass Music
318,470,63,3435,0,242,483,12,1181,78,uncategorized
319,470,64,478,1,125,2319,10,6620,328,uncategorized
320,470,8,1253,7,526,1644,10,151,10,Newbie
321,469,67,2226,14,162,1022,7,4663,165,Experimental
322,469,103,4488,2,478,1573,8,506,59,uncategorized
323,467,11,35,0,1757,123,8,550,59,uncategorized
324,466,155,1422,3,443,1938,9,1168,84,uncategorized
325,466,128,4643,2,72,610,8,833,42,uncategorized
326,465,66,3807,10,411,1779,5,77,15,Newbie
327,465,81,1649,0,664,223,12,715,73,uncategorized
328,462,167,1505,7,84,9828,2,3452,155,EDM
329,462,93,299,3,102,4914,7,374,28,uncategorized
330,460,138,3445,7,71,1878,5,5523,244,Trap
331,460,563,480,2,97,391,10,296,10,uncategorized
332,459,93,3119,2,169,1124,11,3146,94,uncategorized
333,459,52,1832,8,84,3790,6,3577,172,uncategorized
334,457,67,1699,9,65,2978,8,46,8,Bass Music
335,457,63,486,3,1008,294,6,691,39,House
336,456,298,3362,5,397,4937,5,1488,129,Newbie
337,453,640,54,1,62,95,10,138,6,Hip Hop
338,448,28,2512,1,1011,1701,1,1104,89,Trap
339,447,22,135,3,1737,148,6,494,26,uncategorized
340,447,33,494,2,70,993,6,153,7,Rock
341,446,362,1325,1,27,1133,8,375,22,Funk
342,446,21,1189,1,122,1350,6,5793,294,Trap
343,446,251,1240,12,99,426,12,1538,108,uncategorized
344,446,329,3164,0,494,686,10,1398,81,uncategorized
345,446,76,1645,11,79,3317,8,575,51,uncategorized
346,444,73,2,0,2120,82,8,18,1,uncategorized
347,444,97,1880,6,183,356,9,7238,192,Industrial
348,443,186,1643,35,768,931,6,631,45,uncategorized
349,443,1244,4911,6,862,4575,1,75,17,Newbie
350,442,73,472,0,390,646,6,215,35,Newbie
351,441,8,3450,5,357,2557,4,175,24,Newbie
352,440,44,472,3,104,271,11,17489,255,uncategorized
353,440,170,1123,0,144,480,11,2342,121,uncategorized
354,439,55,1833,0,245,1973,10,1071,94,uncategorized
355,439,10,19,1,47,0,12,422,21,uncategorized
356,438,74,238,8,376,400,7,554,46,uncategorized
357,437,16,394,0,675,6016,7,545,55,uncategorized
