,num_followers,num_pub,num_fav,num_alb,num_fol,num_wal,time,top_plays,top_favs,top_genre
457,404,27,1188,0,404,711,about 11 years ago,2868,165,uncategorized
458,403,246,363,0,403,673,about 4 years ago,2524,117,Trap
459,403,7,746,4,403,1436,about 9 years ago,1911,121,uncategorized
460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
461,402,208,788,1,402,227,about 6 years ago,2725,122,Trap
462,400,112,5584,0,400,361,about 8 years ago,89,4,Trap
463,398,5,792,1,398,812,about 7 years ago,2234,34,Techno
464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
465,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
466,397,71,1919,11,397,5414,about 7 years ago,18,5,Drum & Bass
467,396,8,132,4,396,426,about 1 year ago,824,48,Industrial
468,396,1060,4772,1,396,7816,about 3 years ago,8000,415,Hip Hop
469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
470,394,6,2727,0,394,1409,about 10 years ago,423,43,uncategorized
471,393,95,2102,4,393,400,about 10 years ago,834,69,uncategorized
472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
473,392,97,1340,3,392,1339,about 9 years ago,2729,180,uncategorized
474,392,2,526,0,392,320,about 5 years ago,744,61,House
475,391,76,1908,9,391,1521,about 7 years ago,4530,185,Future Bass
476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
477,390,132,5081,18,390,25244,about 1 year ago,99,25,Ambient
478,390,73,2523,5,390,1106,about 9 years ago,1646,114,uncategorized
479,389,1315,2952,12,389,10664,about 3 years ago,1680,113,Hardcore
480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
481,388,9,1029,10,388,1463,about 4 years ago,2979,147,Trap
482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
483,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
484,385,154,1415,1,385,4775,about 6 years ago,1887,127,uncategorized
485,385,34,927,4,385,262,about 12 years ago,3991,120,uncategorized
486,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
487,384,25,208,0,384,99,about 10 years ago,680,53,uncategorized
488,383,23,805,5,383,1375,about 5 years ago,94,8,Techno
489,383,522,1619,40,383,1755,about 8 years ago,1299,67,Hardcore
490,383,14,1522,3,383,1204,about 11 years ago,532,36,Soundtrack
491,382,46,1712,9,382,770,about 8 years ago,3517,155,uncategorized
492,382,19,1922,3,382,1494,about 7 years ago,433,42,uncategorized
493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
494,380,98,933,10,380,270,about 11 years ago,1516,68,Hip Hop
495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
